"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-23 10:20:14",1763893214799,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893214672-8f8cb985546e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 8: Matrix of comparative P values from K-S analysis of pre-arc detrital zircon subpopulations (older than 285 Ma by U-Pb age) in sample subsets and individual samples (12JL5, COL5, COL9) having a Mogollon index less than 60","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MZHT8FMGTZ3NXN08519Q","",-1
"2025-11-23 10:20:14",1763893214798,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893214672-8f8cb985546e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MZHT8FMGTZ3NXN08519Q","",-1
"2025-11-23 10:20:14",1763893214778,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893214672-8f8cb985546e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",226,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MZHT8FMGTZ3NXN08519Q","TFUGnhNSQd1Z",1
"2025-11-23 10:20:14",1763893214316,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893214182-e269a79a21eb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 7: Matrix of comparative P values from K-S analysis of pre-arc detrital zircon subpopulations (older than 285 Ma by U-Pb age) in sample subsets and sample DR having an arc index greater than 10 and a Mogollon index greater than 60 or a Mogollon index less than 60 but an arc index greater than 30","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MZ2EZD6JHFQB7H37TFRZ","",-1
"2025-11-23 10:20:14",1763893214315,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893214182-e269a79a21eb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MZ2EZD6JHFQB7H37TFRZ","",-1
"2025-11-23 10:20:14",1763893214286,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893214182-e269a79a21eb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",223,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MZ2EZD6JHFQB7H37TFRZ","TFUGnhNSQd1Z",1
"2025-11-23 10:20:13",1763893213832,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893213712-55495b288907","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 6: Matrix of comparative P values from K-S analysis of arc-derived detrital zircon subpopulations (U-Pb age younger than 285 Ma) in sample subsets and individual samples (GRF, DR) having an arc index greater than 10","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MYKP6V8B7S2AHRW3AS9G","",-1
"2025-11-23 10:20:13",1763893213831,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893213712-55495b288907","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Starting simplified extraction for session: extract-LDl_YFsxse","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MYKP6V8B7S2AHRW3AS9G","",-1
"2025-11-23 10:20:13",1763893213814,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",400,"8m7bp-1763893213712-55495b288907","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",226,"iad1",147,2048,"","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MYKP6V8B7S2AHRW3AS9G","TFUGnhNSQd1Z",1
"2025-11-23 10:20:13",1763893213362,"thermo-app.vercel.app/api/extraction/extract-LDl_YFsxse/extract","POST","",-1,"8m7bp-1763893213232-c3b3e6d649a0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","","","lambda","/api/extraction/[sessionId]/extract","thermo-app.vercel.app","thermo-app.vercel.app","dpl_FgdjQxfyBGKrXVZAis3u5q33sJYP",-1,"iad1",-1,-1,"[Extract] Extracting Table 5: Matrix of comparative P values from K-S analysis of total detrital zircon populations in sample subsets and individual samples (GRF, DR) having an arc index greater than 10","prj_pHSiEsC2LyGWcblkxotWsaEM6eKX","","","01KAR3MY4WZENTA8065W3SBTRM","",-1
