Pathogen,Pathogen Abbreviation,Test Type,Marker Name,Marker Type,Antibody Type,Manufacturer,Assay Name,Platform,Methodology,QC Sample,CV <10% (%),CV 10-15% (%),CV 15-20% (%),CV >20% (%),Mean CV (%),Quality Rating,Events Examined,Config ID
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Abbott,Abbott ARCHITECT HIV Ag/Ab Combo,ARCHITECT,CLIA,Optitrol Blue,94.0,6.0,0.9,0.3,,good,580,45
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Abbott,Abbott Alinity i HIV Ag/Ab Combo,Alinity i,CLIA,Optitrol Blue,97.2,2.8,0.9,0.9,,excellent,107,43
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Abbott,Abbott Alinity s HIV Ag/Ab Combo,Alinity s,CLIA,Optitrol Blue,100.0,,,,,excellent,67,44
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Bio-Rad,Bio-Rad Access HIV combo,Access,ELISA,Optitrol Blue,100.0,,,,,excellent,9,47
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Bio-Rad,Bio-Rad Genscreen ULTRA HIV Ag-Ab,Genscreen,ELISA,Optitrol Green,10.7,89.3,21.4,,,acceptable,28,48
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,DiaSorin,DiaSorin LIAISON XL MUREX HIV Ab/Ag,LIAISON,ELISA,Optitrol Blue,58.3,41.7,8.3,,,acceptable,12,49
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,DiaSorin,DiaSorin LIAISON XL MUREX HIV Ab/Ag HT,LIAISON,ELISA,Optitrol Blue,0.0,100.0,33.3,,,acceptable,3,50
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Ortho,Ortho VITROS HIV Combo (HIV c),VITROS,ELISA,Optitrol Blue,90.9,9.1,,,,good,11,51
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Roche,Roche Elecsys HIV Duo,Elecsys,CLIA,Optitrol Red,0.0,100.0,,,,acceptable,40,53
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Roche,Roche Elecsys HIV combi PT,Elecsys,CLIA,Optitrol Red,99.0,1.0,,,,excellent,103,52
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,Siemens,Siemens ADVIA Centaur HIV Ag/Ab Combo (CHIV),ADVIA Centaur,CLIA,Optitrol Orange,31.6,68.4,36.8,26.3,,poor,19,54
Human Immunodeficiency Virus (HIV),HIV,serology,anti-HIV-1,Antibody,Other,bioMerieux,bioMerieux VIDAS HIV DUO Quick,VIDAS,ELISA,Optitrol Orange,100.0,,,,,excellent,3,46
