sample_id,n_grains,Ns_total,rho_s,U_ppm,U_ppm_error,Th_ppm,Th_ppm_error,eU_ppm,eU_ppm_error,pooled_age,pooled_age_error,central_age,central_age_error,P_chi2,dispersion,Dpar,Dpar_error,rmr0,rmr0_2007,Cl_wt_pct,eCl_apfu,n_lengths,MTL,MTL_error,MTL_stdev,mineral,method,zeta_value,dataset_name,publication
22,149,18.9041,3.32,6.2,1.79,6.7,3.75,7.4,0.03,57.5,245.3,49.2,1.6,61.36,168.9,0.4,0.831,,,,,108.0,11.19,0.2,1.99,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
32,583,3.987,7.93,9.7,1.09,2.4,8.19,10.2,2.31,7.6,110.5,6.2,1.41,16.42,106.5,0.2,0.842,,,,,122.0,10.62,0.2,2.39,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
35,1304,11.4975,8.88,9.1,0.74,2.0,9.06,9.5,0.08,11.8,289.6,11.7,1.63,15.37,281.0,0.2,0.83,,,,,125.0,11.3,0.2,1.85,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
33,580,3.6787,4.25,2.4,0.2,0.3,4.3,2.5,0.0,19.2,203.5,15.0,1.52,33.62,189.0,0.2,0.831,0.837,0.017,-0.003,109.0,10.79,0.2,1.82,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
30,361,4.8715,7.17,9.7,6.58,33.0,8.78,17.5,93.34,7.2,148.3,7.9,1.37,0.0,144.4,0.1,0.807,0.845,0.021,0.1,108.0,11.2,0.2,1.89,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
33,155,0.9837,1.26,1.2,0.85,1.5,1.47,1.5,0.15,25.7,182.1,21.6,2.27,44.59,155.1,0.3,0.83,0.79,0.07,-0.002,104.0,11.15,0.2,1.97,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
32,2894,43.9737,44.29,8.2,4.44,1.5,45.38,8.5,22.78,4.6,216.6,4.6,1.86,4.72,215.1,0.2,0.82,0.817,0.091,-0.045,102.0,10.96,0.2,2.02,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
32,834,14.7259,13.89,11.1,6.27,6.2,15.42,12.1,0.0,16.3,244.5,14.5,1.4,24.09,230.6,0.1,0.83,0.843,0.013,0.002,106.0,10.6,0.2,1.69,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
27,260,4.3018,3.61,3.7,0.66,1.9,3.77,3.9,0.07,32.5,290.6,28.1,1.37,34.4,258.3,0.1,0.831,0.845,0.019,-0.005,117.0,11.25,0.1,1.37,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
31,307,4.9804,4.87,4.5,1.59,3.5,5.26,5.3,0.52,23.2,246.8,19.6,1.31,27.67,222.7,0.1,0.822,0.848,0.006,0.038,112.0,10.92,0.2,1.68,,apatite,LA-ICP-MS,,Malawi Rift Footwall Exhumation,Malawi Rift Paper (Year TBD)
