sample_id,n_grains,pooled_age_ma,pooled_age_error_ma,central_age_ma,central_age_error_ma,dispersion_pct,p_chi2,ft_age_type
MU19-05,22.0,168.9,57.5,245.3,49.2,61.36,0.0003,central
MU19-06,32.0,106.5,7.6,110.5,6.2,16.42,0.0231,central
MU19-08,35.0,281.0,11.8,289.6,11.7,15.37,0.0008,central
MU19-09,33.0,189.0,19.2,203.5,15.0,33.62,0.0,central
MU19-11,30.0,144.4,7.2,148.3,7.9,0.0,0.9334,central
MU19-12,33.0,155.1,25.7,182.1,21.6,44.59,0.0015,central
MU19-13,32.0,215.1,4.6,216.6,4.6,4.72,0.2278,central
MU19-14,32.0,230.6,16.3,244.5,14.5,24.09,0.0,central
MU19-15,27.0,258.3,32.5,290.6,28.1,34.4,0.0007,central
MU19-16,31.0,222.7,23.2,246.8,19.6,27.67,0.0052,central
MU19-17,33.0,273.2,18.3,282.1,16.4,22.84,0.0003,central
MU19-18,28.0,317.3,16.2,324.8,15.4,0.0,0.7519,central
MU19-20,33.0,269.7,22.0,283.1,24.3,41.4,0.0,central
MU19-22,15.0,169.7,45.9,138.3,29.9,70.37,0.0,central
MU19-23,33.0,165.4,6.8,166.0,6.8,15.35,0.0009,central
MU19-24,33.0,82.8,5.6,85.7,5.6,17.06,0.1797,central
MU19-25,33.0,135.4,6.4,138.8,5.9,9.72,0.1886,central
MU19-26,32.0,230.2,9.7,237.9,8.8,15.77,0.0,central
MU19-28,24.0,143.9,8.8,148.1,9.1,15.2,0.1239,central
MU19-29,20.0,95.4,6.3,99.7,7.4,0.0,0.7437,central
MU19-30,30.0,68.8,3.5,71.1,4.1,0.0,0.9116,central
MU19-33,32.0,173.7,10.8,179.4,9.6,20.65,0.001,central
MU19-34,26.0,257.0,15.0,258.0,14.2,20.55,0.0,central
MU19-36,32.0,199.4,11.7,201.0,11.4,25.01,0.0,central
MU19-37,31.0,249.9,14.8,264.2,13.9,25.47,0.0,central
MU19-39,32.0,115.9,8.2,118.2,6.9,28.16,0.0,central
MU19-47,33.0,166.1,9.8,175.6,9.2,8.37,0.0762999999999999,central
MU19-48,13.0,289.2,20.1,294.6,19.2,16.63,0.0059,central
MU19-49,24.0,90.5,12.0,91.4,11.8,47.4,0.0,central
MU19-50,33.0,17.7,1.1,18.9,1.2,0.0,0.5964,central
MU19-51,33.0,22.2,1.8,24.0,1.9,27.43,0.0051,central
MU19-52,21.0,116.4,15.5,103.8,13.6,46.36,0.0,central
MU19-53,24.0,180.6,42.6,253.3,39.3,63.23,0.0,central
MU19-54,36.0,43.5,6.5,60.8,6.2,0.0,0.3059,central
