sample_id,grain_id,ns,rho_s_cm2,u_ppm,u_1sigma,th_ppm,th_1sigma,eu_ppm,eu_1sigma,dpar_um,dpar_sd_um,rmr0,rmr0d,cl_wt_pct,ecl_apfu,n_grains
MU19-05,MU19-05_pooled,149.0,18.9041,3.32,6.2,1.79,6.7,3.75,7.4,1.6,0.4,,0.831,,,22.0
MU19-06,MU19-06_pooled,583.0,3.987,7.93,9.7,1.09,2.4,8.19,10.2,1.41,0.2,,0.842,,,32.0
MU19-08,MU19-08_pooled,1304.0,11.4975,8.88,9.1,0.74,2.0,9.06,9.5,1.63,0.2,,0.83,,,35.0
MU19-09,MU19-09_pooled,580.0,3.6787,4.25,2.4,0.2,0.3,4.3,2.5,1.52,0.2,0.831,0.837,0.017,,33.0
MU19-11,MU19-11_pooled,361.0,4.8715,7.17,9.7,6.58,33.0,8.78,17.5,1.37,0.1,0.807,0.845,0.021,0.1,30.0
MU19-12,MU19-12_pooled,155.0,0.9837,1.26,1.2,0.85,1.5,1.47,1.5,2.27,0.3,0.83,0.79,0.07,,33.0
MU19-13,MU19-13_pooled,2894.0,43.9737,44.29,8.2,4.44,1.5,45.38,8.5,1.86,0.2,0.82,0.817,0.091,0.045,32.0
MU19-14,MU19-14_pooled,834.0,14.7259,13.89,11.1,6.27,6.2,15.42,12.1,1.4,0.1,0.83,0.843,0.013,0.002,32.0
MU19-15,MU19-15_pooled,260.0,4.3018,3.61,3.7,0.66,1.9,3.77,3.9,1.37,0.1,0.831,0.845,0.019,,27.0
MU19-16,MU19-16_pooled,307.0,4.9804,4.87,4.5,1.59,3.5,5.26,5.3,1.31,0.1,0.822,0.848,0.006,0.038,31.0
MU19-17,MU19-17_pooled,715.0,5.3358,4.27,3.8,3.55,13.4,5.14,6.4,1.39,0.1,0.828,0.844,0.044,0.008,33.0
MU19-18,MU19-18_pooled,473.0,5.0966,3.44,4.1,0.07,0.2,3.46,4.2,1.31,0.1,0.834,0.848,0.005,,28.0
MU19-20,MU19-20_pooled,788.0,5.1139,4.09,4.7,0.08,0.2,4.1,4.8,1.65,0.1,0.835,0.83,0.005,,33.0
MU19-22,MU19-22_pooled,179.0,6.0825,7.3,8.3,0.62,0.7,7.45,8.3,1.44,0.1,0.831,0.841,0.06,,15.0
MU19-23,MU19-23_pooled,1343.0,14.4225,19.05,7.4,0.73,1.8,19.23,7.6,1.26,0.1,,0.851,,,33.0
MU19-24,MU19-24_pooled,327.0,2.0717,5.39,1.9,0.38,0.3,5.48,2.0,1.51,0.1,0.826,0.837,0.027,0.018,33.0
MU19-25,MU19-25_pooled,695.0,4.1681,6.67,2.6,0.24,0.3,6.73,2.7,1.32,0.1,0.82,0.847,0.044,0.044,33.0
MU19-26,MU19-26_pooled,2450.0,27.9487,26.39,22.4,3.74,6.2,27.31,23.8,1.34,0.1,0.831,0.846,0.059,,32.0
MU19-28,MU19-28_pooled,383.0,8.5166,12.56,4.5,0.04,0.1,12.57,4.5,1.5,0.2,0.798,0.838,0.293,0.137,24.0
MU19-29,MU19-29_pooled,186.0,10.0631,10.87,3.6,1.23,2.5,11.17,3.5,1.34,0.1,0.815,0.846,0.046,0.065,20.0
MU19-30,MU19-30_pooled,303.0,4.234,13.33,6.2,2.19,2.0,13.87,6.6,1.24,0.1,0.825,0.852,0.035,0.023,30.0
MU19-33,MU19-33_pooled,775.0,11.307,14.16,12.6,12.42,44.9,17.2,18.3,1.23,0.1,0.83,0.852,0.014,,32.0
MU19-34,MU19-34_pooled,1001.0,11.8437,10.1,6.5,0.74,1.2,10.28,6.7,1.46,0.1,0.831,0.84,0.026,,26.0
MU19-36,MU19-36_pooled,1029.0,11.3164,12.24,8.6,0.8,0.8,12.44,8.7,1.38,0.1,0.83,0.844,0.043,,32.0
MU19-37,MU19-37_pooled,1929.0,18.7324,16.19,8.9,0.66,0.9,16.35,9.1,1.67,0.1,0.829,0.828,0.063,0.003,31.0
MU19-39,MU19-39_pooled,1215.0,8.8639,16.76,7.9,0.93,0.6,16.99,8.0,1.66,0.1,0.828,0.829,0.047,0.007,32.0
MU19-47,MU19-47_pooled,418.0,4.5852,5.85,3.9,0.21,0.3,5.9,3.9,2.09,0.2,0.3,0.802,2.222,0.739,33.0
MU19-48,MU19-48_pooled,629.0,19.4414,14.6,7.4,1.1,2.3,14.86,7.2,1.55,0.1,,0.835,,,13.0
MU19-49,MU19-49_pooled,239.0,17.9809,7.42,4.7,0.43,1.0,7.52,4.7,1.57,0.2,0.789,0.833,0.37,0.162,24.0
MU19-50,MU19-50_pooled,250.0,1.1261,13.32,5.7,0.57,0.4,13.46,5.8,1.38,0.1,0.825,0.844,0.068,0.023,33.0
MU19-51,MU19-51_pooled,349.0,1.6068,16.1,22.4,1.14,2.8,16.38,22.4,1.28,0.2,0.825,0.849,0.047,0.02,33.0
MU19-52,MU19-52_pooled,332.0,11.6053,14.68,17.2,19.27,44.3,19.4,22.3,1.81,0.4,0.808,0.818,0.307,0.08,21.0
MU19-53,MU19-53_pooled,277.0,9.104,9.85,13.3,3.62,9.1,10.74,13.5,1.55,0.2,0.822,0.835,0.147,0.036,24.0
MU19-54,MU19-54_pooled,93.0,19.7226,4.94,2.4,0.42,0.9,5.05,2.5,1.34,0.2,0.803,0.846,0.089,0.118,36.0
