FT,He_ncc,Rs_um,Sm_ppm,Th_ppm,U_ppm,corr_age_1sigma_ma,corr_age_ma,eU_ppm,half_width_um,lab_no,length_um,mass_mg,sample_id,std_run,terminations,thermal_model,uncorr_age_ma
0.85,7.778,99.8,57.9,8.3,18.7,10.0,160.6,20.7,84.6,23294,310.5,0.0224,MU19-06,E,0T,O,136.6
0.83,1.056,85.5,25.7,2.1,6.6,6.4,103.1,7.1,72.2,23295,270.8,0.0142,MU19-06,E,0T,O,85.3
0.77,0.259,62.9,24.7,2.1,7.5,3.7,58.9,8.0,52.0,23296,215.7,0.0059,MU19-06,E,0T,S,45.2
0.79,0.201,71.7,17.8,2.2,6.4,2.4,38.0,6.9,63.1,23297,197.3,0.0079,MU19-06,E,0T,S,30.2
0.76,0.857,61.0,61.8,4.4,18.1,5.4,87.6,19.1,49.9,23298,219.0,0.0055,MU19-06,E,0T,S,66.6
0.77,0.117,65.3,65.9,2.9,9.6,1.2,19.6,10.3,56.2,23299,193.0,0.0061,MU19-08,E,0T,,15.2
0.8,0.225,74.6,69.1,1.9,12.2,1.6,25.6,12.6,60.7,23300,273.5,0.0102,MU19-08,E,1T,,20.3
0.78,0.329,78.4,74.7,1.3,6.0,3.1,49.3,6.3,67.8,23301,228.6,0.0078,MU19-08,E,0T,,40.1
0.81,0.278,89.2,80.9,1.2,6.1,1.7,27.2,6.4,77.7,23303,253.6,0.0114,MU19-08,E,0T,,22.7
0.84,0.474,93.2,43.7,4.5,5.5,2.4,38.9,6.6,79.4,22843,285.2,0.0181,MU19-09,B,0T,S,32.5
0.84,1.469,93.1,59.0,1.0,7.3,6.3,102.2,7.5,78.6,22844,294.2,0.0183,MU19-09,B,0T,S,86.3
0.87,0.914,106.7,64.3,0.4,6.7,2.8,45.6,6.8,90.2,22845,336.5,0.0275,MU19-09,B,0T,S,39.5
0.82,1.382,86.9,163.1,4.0,10.8,7.6,122.8,11.7,75.6,22846,248.2,0.0094,MU19-09,B,1T,O,100.7
0.84,0.213,90.3,36.7,0.6,3.0,2.5,41.0,3.1,79.2,22847,250.4,0.0158,MU19-09,B,0T,S,34.4
0.84,0.647,107.4,129.8,30.0,7.7,1.2,19.2,14.8,86.6,22772,412.5,0.0221,MU19-12,B,1T,S,16.1
0.86,0.309,102.7,74.5,0.9,2.4,3.1,49.2,2.6,94.1,22773,251.5,0.0224,MU19-12,B,0T,S,42.1
0.82,0.204,84.9,39.7,1.3,1.0,7.1,113.9,1.3,75.2,22774,228.9,0.013,MU19-12,B,0T,X,93.1
0.87,0.657,112.1,77.0,2.4,4.4,2.4,39.0,5.0,95.5,22775,343.9,0.0315,MU19-12,B,0T,S,33.8
0.8,0.722,88.9,137.6,28.3,11.5,1.9,30.8,18.2,75.2,22776,279.9,0.0132,MU19-12,B,2T,S,24.6
0.79,0.786,67.3,49.4,4.2,27.7,2.8,45.6,28.7,62.5,23304,159.3,0.0063,MU19-13,E,0T,,35.8
0.84,3.462,98.3,68.8,4.8,36.8,2.8,44.9,37.9,76.5,23305,456.1,0.0197,MU19-13,E,0T,,37.9
0.79,1.295,67.7,113.4,4.2,28.7,3.8,61.8,29.7,56.1,23306,231.5,0.0073,MU19-13,E,0T,,48.6
0.83,1.076,87.1,55.2,2.7,13.3,3.2,52.0,13.9,75.0,23307,257.6,0.0146,MU19-13,E,0T,,43.3
0.82,3.854,79.1,79.3,4.1,30.3,7.5,121.7,31.3,75.1,23308,177.7,0.0101,MU19-13,E,0T,,99.5
0.73,0.025,56.0,14.0,2.1,1.6,2.1,33.8,2.1,48.8,22787,158.6,0.0039,MU19-14,B,0T,,24.6
0.78,0.111,79.0,5.3,1.2,1.6,5.4,86.7,1.9,67.1,22788,244.1,0.007,MU19-14,B,0T,,67.9
0.78,1.372,60.2,69.1,2.8,12.7,10.5,168.6,13.4,48.2,22789,241.6,0.0063,MU19-14,B,2T,,131.5
0.8,0.313,60.0,5.5,0.5,1.9,11.6,187.3,2.0,46.6,22790,280.7,0.0085,MU19-14,B,0T,,150.0
0.81,0.274,59.5,22.5,1.0,3.0,5.1,82.0,3.2,51.1,22791,177.3,0.0104,MU19-14,B,1T,,66.5
0.86,0.48,73.2,98.7,0.2,3.7,1.9,50.2,3.7,57.8,22792,312.3,0.0235,MU19-15,B,0T,,43.5
0.8,0.201,85.1,127.4,0.9,4.2,3.1,50.3,4.4,74.2,22793,241.4,0.009,MU19-15,B,0T,,40.1
0.82,0.569,85.0,113.8,0.7,7.5,3.1,50.0,7.7,74.1,22794,241.7,0.014,MU19-15,B,1T,,42.8
0.81,0.132,68.1,81.8,0.5,2.7,2.8,45.8,2.8,58.0,22796,209.3,0.0101,MU19-15,B,2T,,37.3
0.75,0.05,74.2,172.2,1.6,2.2,2.3,37.1,2.6,62.7,23368,234.8,0.0053,MU19-16,E,0T,S,27.9
0.81,0.24,109.5,209.3,0.7,2.7,3.5,56.7,2.9,96.6,23369,298.7,0.0135,MU19-16,E,0T,,46.2
0.83,0.63,57.5,116.2,0.3,3.9,6.9,111.4,4.0,53.2,23375,136.8,0.0135,MU19-16,E,0T,S,92.8
0.81,0.325,70.0,115.3,0.7,3.3,5.9,95.8,3.5,66.7,23376,155.6,0.0095,MU19-16,E,0T,S,77.7
0.83,1.021,66.3,128.0,0.7,6.9,7.1,115.2,7.1,57.9,23377,187.3,0.012,MU19-16,E,0T,S,95.4
0.82,0.891,73.7,179.9,1.4,11.1,5.6,90.2,11.4,86.2,23378,114.2,0.0085,MU19-16,E,0T,S,73.8
0.83,0.663,77.9,118.7,1.0,5.5,5.8,93.1,5.7,67.0,23379,231.8,0.012,MU19-16,E,0T,S,77.0
0.86,0.28,82.3,82.9,0.6,2.7,2.0,32.8,2.8,72.5,22777,225.2,0.0287,MU19-17,B,0T,,26.9
0.8,0.848,73.7,148.8,1.0,4.5,11.8,190.0,4.7,66.8,22778,185.5,0.0091,MU19-17,B,0T,,151.2
