Cl_wt_pct,Disp_pct,Dpar_sd_um,Dpar_um,Dper_sd_um,Dper_um,Nd,Ni,Ns,P_chi2_pct,Th_1sigma,Th_ppm,U_1sigma,U_ppm,analysis_date,analyst,counting_area_cm2,dosimeter,eCl_apfu,eU_1sigma,eU_ppm,etching_conditions,ft_algorithm,ft_counting_method,ft_software,grain_id,laboratory,microscope,n_grains,objective,rho_d_cm2,rho_i_cm2,rho_s_cm2,rmr0,rmr0D,sample_id,sample_mount_id
0.017,61.36,0.4,1.6,,,,,149,0.03,6.7,1.79,6.2,3.32,,M_McMillan,,N/A (LA-ICP-MS),-0.003,7.4,3.75,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-05_aggregate,University of Melbourne,Unknown,22,100x oil immersion,,,1890410.0,0.831,0.831,MU19-05,
0.021,16.42,0.2,1.41,,,,,583,2.31,2.4,1.09,9.7,7.93,,M_McMillan,,N/A (LA-ICP-MS),0.1,10.2,8.19,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-06_aggregate,University of Melbourne,Unknown,32,100x oil immersion,,,398700.0,0.807,0.842,MU19-06,
0.07,15.37,0.2,1.63,,,,,1304,0.08,2.0,0.74,9.1,8.88,,M_McMillan,,N/A (LA-ICP-MS),-0.002,9.5,9.06,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-08_aggregate,University of Melbourne,Unknown,35,100x oil immersion,,,1149750.0,0.83,0.83,MU19-08,
0.091,33.62,0.2,1.52,,,,,580,0.0,0.3,0.2,2.4,4.25,,M_McMillan,,N/A (LA-ICP-MS),0.045,2.5,4.3,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-09_aggregate,University of Melbourne,Unknown,33,100x oil immersion,,,367870.0,0.82,0.837,MU19-09,
0.013,0.0,0.1,1.37,,,,,361,93.34,33.0,6.58,9.7,7.17,,M_McMillan,,N/A (LA-ICP-MS),0.002,17.5,8.78,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-11_aggregate,University of Melbourne,Unknown,30,100x oil immersion,,,487150.0,0.83,0.845,MU19-11,
0.019,44.59,0.3,2.27,,,,,155,0.15,1.5,0.85,1.2,1.26,,M_McMillan,,N/A (LA-ICP-MS),-0.005,1.5,1.47,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-12_aggregate,University of Melbourne,Unknown,33,100x oil immersion,,,98370.0,0.831,0.79,MU19-12,
0.006,4.72,0.2,1.86,,,,,2894,22.78,1.5,4.44,8.2,44.29,,M_McMillan,,N/A (LA-ICP-MS),0.038,8.5,45.38,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-13_aggregate,University of Melbourne,Unknown,32,100x oil immersion,,,4397370.0,0.822,0.817,MU19-13,
0.044,24.09,0.1,1.4,,,,,834,0.0,6.2,6.27,11.1,13.89,,M_McMillan,,N/A (LA-ICP-MS),0.008,12.1,15.42,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-14_aggregate,University of Melbourne,Unknown,32,100x oil immersion,,,1472590.0,0.828,0.843,MU19-14,
0.005,34.4,0.1,1.37,,,,,260,0.07,1.9,0.66,3.7,3.61,,M_McMillan,,N/A (LA-ICP-MS),-0.019,3.9,3.77,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-15_aggregate,University of Melbourne,Unknown,27,100x oil immersion,,,430180.0,0.834,0.845,MU19-15,
0.005,27.67,0.1,1.31,,,,,307,0.52,3.5,1.59,4.5,4.87,,M_McMillan,,N/A (LA-ICP-MS),-0.021,5.3,5.26,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-16_aggregate,University of Melbourne,Unknown,31,100x oil immersion,,,498040.00000000006,0.835,0.848,MU19-16,
0.06,22.84,0.1,1.39,,,,,715,0.03,13.4,3.55,3.8,4.27,,M_McMillan,,N/A (LA-ICP-MS),-0.003,6.4,5.14,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-17_aggregate,University of Melbourne,Unknown,33,100x oil immersion,,,533580.0,0.831,0.844,MU19-17,
,0.0,0.1,1.31,,,,,473,75.19,0.2,0.07,4.1,3.44,,M_McMillan,,N/A (LA-ICP-MS),,4.2,3.46,"5.5M HNO3, 20s, 21°C",manual,digital,Unknown,MU19-18_aggregate,University of Melbourne,Unknown,28,100x oil immersion,,,509659.99999999994,0.826,0.848,MU19-18,
