P_chi2,Rs_um,age_equation,age_peak_software,best_fit_peak_ages_ma,best_fit_peak_errors_ma,best_fit_peak_grain_pct,central_age_error_ma,central_age_ma,dispersion_pct,dosimeter,ft_age_type,irradiation_reactor,lambda_D,lambda_f,n_grains,pooled_age_error_ma,pooled_age_ma,q,sample_id,zeta_error_yr_cm2,zeta_yr_cm2
0.0003,,LA-ICP-MS zeta-calibrated,,,,,49.2,245.3,61.36,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,22,57.5,168.9,,MU19-05,,
0.0231,,LA-ICP-MS zeta-calibrated,,,,,6.2,110.5,16.42,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,32,7.6,106.5,,MU19-06,,
0.0008,,LA-ICP-MS zeta-calibrated,,,,,11.7,289.6,15.37,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,35,11.8,281.0,,MU19-08,,
0.0,,LA-ICP-MS zeta-calibrated,,,,,15.0,203.5,33.62,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,33,19.2,189.0,,MU19-09,,
0.9334,,LA-ICP-MS zeta-calibrated,,,,,7.9,148.3,0.0,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,30,7.2,144.4,,MU19-11,,
0.0015,,LA-ICP-MS zeta-calibrated,,,,,21.6,182.1,44.59,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,33,25.7,155.1,,MU19-12,,
0.2278,,LA-ICP-MS zeta-calibrated,,,,,4.6,216.6,4.72,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,32,4.6,215.1,,MU19-13,,
0.0,,LA-ICP-MS zeta-calibrated,,,,,14.5,244.5,24.09,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,32,16.3,230.6,,MU19-14,,
0.0007000000000000001,,LA-ICP-MS zeta-calibrated,,,,,28.1,290.6,34.4,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,27,32.5,258.3,,MU19-15,,
0.0052,,LA-ICP-MS zeta-calibrated,,,,,19.6,246.8,27.67,N/A (LA-ICP-MS),central,N/A (LA-ICP-MS),1.55125e-10,8.46e-17,31,23.2,222.7,,MU19-16,,
