sample_id,datapoint_key,laboratory,ft_method,n_grains,total_ns,mean_rho_s,mean_u_ppm,sd_u_ppm,mean_dpar_um,se_dpar_um,p_chi2_pct,dispersion_pct,pooled_age_ma,pooled_age_error_ma,central_age_ma,central_age_error_ma,mean_track_length_um,sd_track_length_um,n_track_measurements,mineral_type
MU19-05,MU19-05_DP001,University of Melbourne,LA-ICP-MS,22,149,18.9041,3.32,6.2,1.6,0.4,0.03,61.36,168.9,57.5,245.3,49.2,108,0.2,,apatite
MU19-06,MU19-06_DP001,University of Melbourne,LA-ICP-MS,32,583,3.987,7.93,9.7,1.41,0.2,2.31,16.42,106.5,7.6,110.5,6.2,122,0.2,,apatite
MU19-08,MU19-08_DP001,University of Melbourne,LA-ICP-MS,35,1304,11.4975,8.88,9.1,1.63,0.2,0.08,15.37,281,11.8,289.6,11.7,125,0.2,,apatite
MU19-09,MU19-09_DP001,University of Melbourne,LA-ICP-MS,33,580,3.6787,4.25,2.4,1.52,0.2,0,33.62,189,19.2,203.5,15,10.79,1.82,109,apatite
MU19-11,MU19-11_DP001,University of Melbourne,LA-ICP-MS,30,361,4.8715,7.17,9.7,1.37,0.1,93.34,0,144.4,7.2,148.3,7.9,11.2,1.89,108,apatite
MU19-12,MU19-12_DP001,University of Melbourne,LA-ICP-MS,33,155,0.9837,1.26,1.2,2.27,0.3,0.15,44.59,155.1,25.7,182.1,21.6,11.15,1.97,104,apatite
MU19-13,MU19-13_DP001,University of Melbourne,LA-ICP-MS,32,2894,43.9737,44.29,8.2,1.86,0.2,22.78,4.72,215.1,4.6,216.6,4.6,10.96,2.02,102,apatite
MU19-14,MU19-14_DP001,University of Melbourne,LA-ICP-MS,32,834,14.7259,13.89,11.1,1.4,0.1,0,24.09,230.6,16.3,244.5,14.5,10.6,1.69,106,apatite
MU19-15,MU19-15_DP001,University of Melbourne,LA-ICP-MS,27,260,4.3018,3.61,3.7,1.37,0.1,0.07,34.4,258.3,32.5,290.6,28.1,11.25,1.37,117,apatite
MU19-16,MU19-16_DP001,University of Melbourne,LA-ICP-MS,31,307,4.9804,4.87,4.5,1.31,0.1,0.52,27.67,222.7,23.2,246.8,19.6,10.92,1.68,112,apatite
MU19-17,MU19-17_DP001,University of Melbourne,LA-ICP-MS,33,715,5.3358,4.27,3.8,1.39,0.1,0.03,22.84,273.2,18.3,282.1,16.4,10.87,1.71,103,apatite
MU19-18,MU19-18_DP001,University of Melbourne,LA-ICP-MS,28,473,5.0966,3.44,4.1,1.31,0.1,75.19,0,317.3,16.2,324.8,15.4,11.28,1.23,101,apatite
MU19-20,MU19-20_DP001,University of Melbourne,LA-ICP-MS,33,788,5.1139,4.09,4.7,1.65,0.1,0,41.4,269.7,22,283.1,24.3,11.04,1.32,104,apatite
MU19-22,MU19-22_DP001,University of Melbourne,LA-ICP-MS,15,179,6.0825,7.3,8.3,1.44,0.1,0,70.37,169.7,45.9,138.3,29.9,11.6,1.53,98,apatite
MU19-23,MU19-23_DP001,University of Melbourne,LA-ICP-MS,33,1343,14.4225,19.05,7.4,1.26,0.1,0.09,15.35,165.4,6.8,166,6.8,102,0.2,,apatite
MU19-24,MU19-24_DP001,University of Melbourne,LA-ICP-MS,33,327,2.0717,5.39,1.9,1.51,0.1,17.97,17.06,82.8,5.6,85.7,5.6,12.44,1.91,112,apatite
MU19-25,MU19-25_DP001,University of Melbourne,LA-ICP-MS,33,695,4.1681,6.67,2.6,1.32,0.1,18.86,9.72,135.4,6.4,138.8,5.9,11.97,1.91,114,apatite
MU19-26,MU19-26_DP001,University of Melbourne,LA-ICP-MS,32,2450,27.9487,26.39,22.4,1.34,0.1,0,15.77,230.2,9.7,237.9,8.8,11.55,2.07,109,apatite
MU19-28,MU19-28_DP001,University of Melbourne,LA-ICP-MS,24,383,8.5166,12.56,4.5,1.5,0.2,12.39,15.2,143.9,8.8,148.1,9.1,11.72,2.02,102,apatite
MU19-29,MU19-29_DP001,University of Melbourne,LA-ICP-MS,20,186,10.0631,10.87,3.6,1.34,0.1,74.37,0,95.4,6.3,99.7,7.4,10.48,2.14,100,apatite
MU19-30,MU19-30_DP001,University of Melbourne,LA-ICP-MS,30,303,4.234,13.33,6.2,1.24,0.1,91.16,0,68.8,3.5,71.1,4.1,12.05,2.14,99,apatite
MU19-33,MU19-33_DP001,University of Melbourne,LA-ICP-MS,32,775,11.307,14.16,12.6,1.23,0.1,0.1,20.65,173.7,10.8,179.4,9.6,11.19,1.92,121,apatite
MU19-34,MU19-34_DP001,University of Melbourne,LA-ICP-MS,26,1001,11.8437,10.1,6.5,1.46,0.1,0,20.55,257,15,258,14.2,11.25,1.84,107,apatite
MU19-36,MU19-36_DP001,University of Melbourne,LA-ICP-MS,32,1029,11.3164,12.24,8.6,1.38,0.1,0,25.01,199.4,11.7,201,11.4,11.44,1.8,103,apatite
MU19-37,MU19-37_DP001,University of Melbourne,LA-ICP-MS,31,1929,18.7324,16.19,8.9,1.67,0.1,0,25.47,249.9,14.8,264.2,13.9,11.47,1.95,104,apatite
MU19-39,MU19-39_DP001,University of Melbourne,LA-ICP-MS,32,1215,8.8639,16.76,7.9,1.66,0.1,0,28.16,115.9,8.2,118.2,6.9,11.99,1.92,109,apatite
MU19-47,MU19-47_DP001,University of Melbourne,LA-ICP-MS,33,418,4.5852,5.85,3.9,2.09,0.2,7.63,8.37,166.1,9.8,175.6,9.2,12.09,2.11,118,apatite
MU19-48,MU19-48_DP001,University of Melbourne,LA-ICP-MS,13,629,19.4414,14.6,7.4,1.55,0.1,0.59,16.63,289.2,20.1,294.6,19.2,25,0.4,,apatite
MU19-49,MU19-49_DP001,University of Melbourne,LA-ICP-MS,24,239,17.9809,7.42,4.7,1.57,0.2,0,47.4,90.5,12,91.4,11.8,11.26,1.65,108,apatite
MU19-50,MU19-50_DP001,University of Melbourne,LA-ICP-MS,33,250,1.1261,13.32,5.7,1.38,0.1,59.64,0,17.7,1.1,18.9,1.2,12.35,1.65,112,apatite
MU19-51,MU19-51_DP001,University of Melbourne,LA-ICP-MS,33,349,1.6068,16.1,22.4,1.28,0.2,0.51,27.43,22.2,1.8,24,1.9,12.22,2.06,102,apatite
MU19-52,MU19-52_DP001,University of Melbourne,LA-ICP-MS,21,332,11.6053,14.68,17.2,1.81,0.4,0,46.36,116.4,15.5,103.8,13.6,10.99,1.77,111,apatite
MU19-53,MU19-53_DP001,University of Melbourne,LA-ICP-MS,24,277,9.104,9.85,13.3,1.55,0.2,0,63.23,180.6,42.6,253.3,39.3,11.23,1.97,78,apatite
MU19-54,MU19-54_DP001,University of Melbourne,LA-ICP-MS,36,93,19.7226,4.94,2.4,1.34,0.2,30.59,0,43.5,6.5,60.8,6.2,11.51,2.2,47,apatite
