sample_id,datapoint_key,grain_id,track_id,track_type,apparent_length_um,angle_to_c_axis_deg,dpar_um
MU19-09,MU19-09_DP001,GRAIN_1,TRK_1,confined,,,
MU19-09,MU19-09_DP001,GRAIN_2,TRK_2,confined,,,
MU19-09,MU19-09_DP001,GRAIN_3,TRK_3,confined,,,
MU19-09,MU19-09_DP001,GRAIN_4,TRK_4,confined,,,
MU19-09,MU19-09_DP001,GRAIN_5,TRK_5,confined,,,
MU19-09,MU19-09_DP001,GRAIN_6,TRK_6,confined,,,
MU19-09,MU19-09_DP001,GRAIN_7,TRK_7,confined,,,
MU19-09,MU19-09_DP001,GRAIN_8,TRK_8,confined,,,
MU19-09,MU19-09_DP001,GRAIN_9,TRK_9,confined,,,
MU19-09,MU19-09_DP001,GRAIN_10,TRK_10,confined,,,
MU19-09,MU19-09_DP001,GRAIN_11,TRK_11,confined,,,
MU19-09,MU19-09_DP001,GRAIN_12,TRK_12,confined,,,
MU19-09,MU19-09_DP001,GRAIN_13,TRK_13,confined,,,
MU19-09,MU19-09_DP001,GRAIN_14,TRK_14,confined,,,
MU19-09,MU19-09_DP001,GRAIN_15,TRK_15,confined,,,
MU19-09,MU19-09_DP001,GRAIN_16,TRK_16,confined,,,
MU19-09,MU19-09_DP001,GRAIN_17,TRK_17,confined,,,
MU19-09,MU19-09_DP001,GRAIN_18,TRK_18,confined,,,
MU19-09,MU19-09_DP001,GRAIN_19,TRK_19,confined,,,
MU19-09,MU19-09_DP001,GRAIN_20,TRK_20,confined,,,
MU19-09,MU19-09_DP001,GRAIN_21,TRK_21,confined,,,
MU19-09,MU19-09_DP001,GRAIN_22,TRK_22,confined,,,
MU19-09,MU19-09_DP001,GRAIN_23,TRK_23,confined,,,
MU19-09,MU19-09_DP001,GRAIN_24,TRK_24,confined,,,
MU19-09,MU19-09_DP001,GRAIN_25,TRK_25,confined,,,
MU19-09,MU19-09_DP001,GRAIN_26,TRK_26,confined,,,
MU19-09,MU19-09_DP001,GRAIN_27,TRK_27,confined,,,
MU19-09,MU19-09_DP001,GRAIN_28,TRK_28,confined,,,
MU19-09,MU19-09_DP001,GRAIN_29,TRK_29,confined,,,
MU19-09,MU19-09_DP001,GRAIN_30,TRK_30,confined,,,
MU19-09,MU19-09_DP001,GRAIN_31,TRK_31,confined,,,
MU19-09,MU19-09_DP001,GRAIN_32,TRK_32,confined,,,
MU19-09,MU19-09_DP001,GRAIN_33,TRK_33,confined,,,
MU19-09,MU19-09_DP001,GRAIN_34,TRK_34,confined,,,
MU19-09,MU19-09_DP001,GRAIN_35,TRK_35,confined,,,
MU19-11,MU19-11_DP001,GRAIN_36,TRK_36,confined,,,
MU19-11,MU19-11_DP001,GRAIN_37,TRK_37,confined,,,
MU19-11,MU19-11_DP001,GRAIN_38,TRK_38,confined,,,
MU19-11,MU19-11_DP001,GRAIN_39,TRK_39,confined,,,
MU19-11,MU19-11_DP001,GRAIN_40,TRK_40,confined,,,
MU19-11,MU19-11_DP001,GRAIN_41,TRK_41,confined,,,
MU19-11,MU19-11_DP001,GRAIN_42,TRK_42,confined,,,
MU19-11,MU19-11_DP001,GRAIN_43,TRK_43,confined,,,
MU19-11,MU19-11_DP001,GRAIN_44,TRK_44,confined,,,
MU19-11,MU19-11_DP001,GRAIN_45,TRK_45,confined,,,
MU19-11,MU19-11_DP001,GRAIN_46,TRK_46,confined,,,
MU19-11,MU19-11_DP001,GRAIN_47,TRK_47,confined,,,
MU19-11,MU19-11_DP001,GRAIN_48,TRK_48,confined,,,
MU19-11,MU19-11_DP001,GRAIN_49,TRK_49,confined,,,
MU19-11,MU19-11_DP001,GRAIN_50,TRK_50,confined,,,
MU19-11,MU19-11_DP001,GRAIN_51,TRK_51,confined,,,
MU19-11,MU19-11_DP001,GRAIN_52,TRK_52,confined,,,
MU19-11,MU19-11_DP001,GRAIN_53,TRK_53,confined,,,
MU19-11,MU19-11_DP001,GRAIN_54,TRK_54,confined,,,
MU19-11,MU19-11_DP001,GRAIN_55,TRK_55,confined,,,
MU19-11,MU19-11_DP001,GRAIN_56,TRK_56,confined,,,
