Sample,Lab_No,Standard_RunID,He4_ncc,Mass_mg,Mean_FT,U_ppm,Th_ppm,Sm_ppm,eU_ppm,Uncorr_Age_Ma,Corrected_Age_Ma,Age_error_Ma,Length_um,Half_width_um,Rs_um,Morphology,Thermal_Modeling
MU19-06,23294,E,7.778,0.0224,0.85,18.7,8.3,57.9,20.7,136.6,160.6,10.0,310.5,84.6,99.8,0T,O
MU19-06,23295,E,1.056,0.0142,0.83,6.6,2.1,25.7,7.1,85.3,103.1,6.4,270.8,72.2,85.5,0T,O
MU19-06,23296,E,0.259,0.0059,0.77,7.5,2.1,24.7,8.0,45.2,58.9,3.7,215.7,52.0,62.9,0T,S
MU19-06,23297,E,0.201,0.0079,0.79,6.4,2.2,17.8,6.9,30.2,38.0,2.4,197.3,63.1,71.7,0T,S
MU19-06,23298,E,0.857,0.0055,0.76,18.1,4.4,61.8,19.1,66.6,87.6,5.4,219.0,49.9,61.0,0T,S
MU19-08,23299,E,0.117,0.0061,0.77,9.6,2.9,65.9,10.3,15.2,19.6,1.2,193.0,56.2,65.3,0T,
MU19-08,23300,E,0.225,0.0071,0.79,12.2,1.9,69.1,12.6,20.3,25.6,1.6,273.5,60.7,74.6,1T,
MU19-08,23301,E,0.329,0.0106,0.81,6.0,1.3,74.7,6.3,40.1,49.3,3.1,228.6,67.8,78.4,0T,
MU19-08,23303,E,0.278,0.0154,0.84,6.1,1.2,80.9,6.4,22.7,27.2,1.7,253.6,77.7,89.2,0T,
MU19-09,22843,B,0.474,0.0181,0.84,5.5,4.5,43.7,6.6,32.5,38.9,2.4,285.2,79.4,93.2,0T,S
MU19-09,22844,B,1.469,0.0183,0.84,7.3,1.0,59.0,7.5,86.3,102.2,6.3,294.2,78.6,93.1,0T,S
MU19-09,22845,B,0.914,0.0275,0.87,6.7,0.4,64.3,6.8,39.5,45.6,2.8,336.5,90.2,106.7,0T,S
MU19-09,22846,B,1.382,0.0094,0.82,10.8,4.0,163.1,11.7,100.7,122.8,7.6,248.2,75.6,86.9,1T,O
MU19-09,22847,B,0.213,0.0158,0.84,3.0,0.6,36.7,3.1,34.4,41.0,2.5,250.4,79.2,90.3,0T,S
MU19-12,22772,B,0.647,0.0221,0.84,7.7,30.0,129.8,14.8,16.1,19.2,1.2,412.5,86.6,107.4,1T,S
MU19-12,22773,B,0.309,0.0224,0.86,2.4,0.9,74.5,2.6,42.1,49.2,3.1,251.5,94.1,102.7,0T,S
MU19-12,22774,B,0.204,0.0130,0.82,1.0,1.3,39.7,1.3,93.1,113.9,7.1,228.9,75.2,84.0,0T,X
MU19-12,22775,B,0.657,0.0315,0.87,4.4,2.4,77.0,5.0,33.8,39.0,2.4,343.9,95.5,112.1,0T,S
