Sample,Grain,Ca_apfu,Si_apfu,P_apfu,F_apfu,Cl_apfu,OH_apfu,Mn_apfu,Mg_apfu,Fe_apfu,Sr_apfu,Na_apfu,Ce_apfu,La_apfu,K_apfu,Y_apfu,S_apfu,Corr_Total_wt_pct,Net_Corr_Total_wt_pct,M_site_10,X_site_6,rmr0_1999,eCl_1999_apfu,rmr0_2007,eCl_2007_apfu
Durango,std,10.119,0.061,5.781,2.005,0.111,0.000,0.000,0.003,0.006,0.004,0.067,0.039,0.030,0.000,0.011,0.048,98.4,98.6,10.3,5.9,0.832,0.023,0.811,0.085
Durango,std,10.113,0.070,5.767,2.075,0.147,0.000,0.000,0.004,0.006,0.002,0.087,0.040,0.030,0.000,0.004,0.054,98.6,98.9,10.3,5.9,0.825,0.044,0.802,0.122
Durango,std,10.149,0.057,5.774,1.926,0.114,0.000,0.004,0.004,0.003,0.001,0.078,0.037,0.032,0.000,0.007,0.046,98.0,98.2,10.3,5.9,0.833,0.022,0.811,0.084
Durango,std,10.025,0.065,5.816,2.130,0.113,0.000,0.001,0.003,0.001,0.000,0.071,0.037,0.031,0.000,0.004,0.052,98.6,98.8,10.2,5.9,0.837,0.010,0.811,0.084
Durango,std,10.066,0.058,5.800,2.139,0.119,0.000,0.003,0.004,0.004,0.002,0.071,0.043,0.029,0.001,0.010,0.049,99.3,99.5,10.2,5.9,0.832,0.025,0.806,0.103
Durango,std,10.136,0.064,5.762,1.993,0.154,0.000,0.003,0.003,0.006,0.001,0.091,0.047,0.033,0.000,0.001,0.050,97.9,98.2,10.3,5.9,0.821,0.055,0.799,0.132
Durango,std,10.202,0.060,5.752,2.037,0.116,0.000,0.004,0.002,0.000,0.000,0.090,0.039,0.034,0.002,0.007,0.042,98.1,98.3,10.4,5.9,0.835,0.016,0.809,0.092
Durango,std,10.075,0.062,5.804,1.989,0.111,0.000,0.005,0.004,0.001,0.003,0.075,0.038,0.027,0.000,0.007,0.044,98.4,98.6,10.2,5.9,0.835,0.015,0.811,0.082
Durango,std,10.038,0.069,5.791,1.969,0.152,0.000,0.000,0.004,0.002,0.004,0.080,0.046,0.033,0.000,0.008,0.055,99.1,99.3,10.2,5.9,0.827,0.037,0.804,0.112
Durango,std,10.017,0.062,5.828,2.029,0.117,0.000,0.001,0.004,0.005,0.003,0.083,0.038,0.031,0.000,0.003,0.042,99.3,99.5,10.2,5.9,0.831,0.026,0.808,0.094
